Entity,Code,Day,Delta
Angola,AGO,2020-12-21,0
Angola,AGO,2021-01-25,0
Angola,AGO,2021-02-08,0
Angola,AGO,2021-02-22,0
Angola,AGO,2021-03-08,0
Angola,AGO,2021-03-22,0
Angola,AGO,2021-04-05,0
Angola,AGO,2021-04-19,2.41
Angola,AGO,2021-05-03,2.94
Angola,AGO,2021-06-28,6.67
Argentina,ARG,2020-05-11,0
Argentina,ARG,2020-05-25,0
Argentina,ARG,2020-06-08,0
Argentina,ARG,2020-06-22,0
Argentina,ARG,2020-07-06,0
Argentina,ARG,2020-07-20,0
Argentina,ARG,2020-08-03,0
Argentina,ARG,2020-08-17,0
Argentina,ARG,2020-08-31,0
Argentina,ARG,2020-09-14,0
Argentina,ARG,2020-09-28,0
Argentina,ARG,2020-10-12,0
Argentina,ARG,2020-10-26,0
Argentina,ARG,2020-11-09,0
Argentina,ARG,2020-11-23,0
Argentina,ARG,2020-12-07,0
Argentina,ARG,2020-12-21,0
Argentina,ARG,2021-01-04,0
Argentina,ARG,2021-01-25,0
Argentina,ARG,2021-02-08,0
Argentina,ARG,2021-02-22,0
Argentina,ARG,2021-03-08,0
Argentina,ARG,2021-03-22,0
Argentina,ARG,2021-04-05,0
Argentina,ARG,2021-04-19,0
Argentina,ARG,2021-05-03,0.33
Argentina,ARG,2021-05-17,0
Argentina,ARG,2021-05-31,0
Argentina,ARG,2021-06-14,0.28
Argentina,ARG,2021-06-28,0.6
Argentina,ARG,2021-07-12,7.06
Argentina,ARG,2021-07-26,35.51
Argentina,ARG,2021-08-09,39.47
Aruba,ABW,2021-02-08,0
Aruba,ABW,2021-02-22,5.52
Aruba,ABW,2021-03-08,0
Aruba,ABW,2021-03-22,14.66
Aruba,ABW,2021-04-05,0
Aruba,ABW,2021-04-19,10.88
Aruba,ABW,2021-05-03,1.43
Aruba,ABW,2021-05-17,10.78
Aruba,ABW,2021-05-31,0
Aruba,ABW,2021-06-14,13.27
Aruba,ABW,2021-07-12,50
Aruba,ABW,2021-07-26,86.6
Aruba,ABW,2021-08-09,98.44
Aruba,ABW,2021-08-23,98.66
Aruba,ABW,2021-09-06,97.99
Australia,AUS,2020-05-11,0
Australia,AUS,2020-05-25,0
Australia,AUS,2020-06-08,0
Australia,AUS,2020-06-22,0
Australia,AUS,2020-07-06,0
Australia,AUS,2020-07-20,0
Australia,AUS,2020-08-03,0
Australia,AUS,2020-08-17,0
Australia,AUS,2020-08-31,0
Australia,AUS,2020-09-14,0
Australia,AUS,2020-09-28,0
Australia,AUS,2020-10-12,0
Australia,AUS,2020-10-26,0
Australia,AUS,2020-11-09,0
Australia,AUS,2020-11-23,0
Australia,AUS,2020-12-07,0
Australia,AUS,2020-12-21,0
Australia,AUS,2021-01-04,0
Australia,AUS,2021-01-11,0
Australia,AUS,2021-01-25,0
Australia,AUS,2021-02-08,10.2
Australia,AUS,2021-02-22,2
Australia,AUS,2021-03-08,0
Australia,AUS,2021-03-22,0.82
Australia,AUS,2021-04-05,2.52
Australia,AUS,2021-04-19,18.31
Australia,AUS,2021-05-03,41.67
Australia,AUS,2021-05-17,39.6
Australia,AUS,2021-05-31,16.87
Australia,AUS,2021-06-14,41.67
Australia,AUS,2021-06-28,85.29
Australia,AUS,2021-07-12,95.32
Australia,AUS,2021-07-26,99.66
Australia,AUS,2021-08-09,99.88
Australia,AUS,2021-08-23,99.89
Australia,AUS,2021-09-06,99.95
Australia,AUS,2021-09-20,100
Austria,AUT,2020-05-11,0
Austria,AUT,2020-05-25,0
Austria,AUT,2020-08-31,0
Austria,AUT,2020-09-14,0
Austria,AUT,2020-09-28,0
Austria,AUT,2020-10-12,0
Austria,AUT,2020-10-26,0
Austria,AUT,2020-11-09,0
Austria,AUT,2020-11-23,0
Austria,AUT,2020-12-07,0
Austria,AUT,2020-12-21,0
Austria,AUT,2021-01-04,0
Austria,AUT,2021-01-11,0
Austria,AUT,2021-01-25,0
Austria,AUT,2021-02-08,0
Austria,AUT,2021-02-22,0
Austria,AUT,2021-03-08,0
Austria,AUT,2021-03-22,0
Austria,AUT,2021-04-05,0
Austria,AUT,2021-04-19,0.57
Austria,AUT,2021-05-03,1.52
Austria,AUT,2021-05-17,0.48
Austria,AUT,2021-05-31,2.84
Austria,AUT,2021-06-14,42.93
Austria,AUT,2021-06-28,59.01
Austria,AUT,2021-07-12,88.29
Austria,AUT,2021-07-26,98.96
Austria,AUT,2021-08-09,98.83
Austria,AUT,2021-08-23,99.68
Austria,AUT,2021-09-06,100
Bahrain,BHR,2020-10-26,0
Bahrain,BHR,2020-11-23,0
Bahrain,BHR,2021-04-19,35.71
Bahrain,BHR,2021-05-17,49.12
Bahrain,BHR,2021-05-31,84.78
Bahrain,BHR,2021-06-28,97.62
Bahrain,BHR,2021-07-12,94.2
Bahrain,BHR,2021-07-26,97.17
Bahrain,BHR,2021-08-09,95.83
Bahrain,BHR,2021-09-06,100
Bangladesh,BGD,2020-05-11,0
Bangladesh,BGD,2020-05-25,0
Bangladesh,BGD,2020-06-08,0
Bangladesh,BGD,2020-06-22,0
Bangladesh,BGD,2020-07-06,0
Bangladesh,BGD,2020-07-20,0
Bangladesh,BGD,2020-08-03,0
Bangladesh,BGD,2020-11-23,0
Bangladesh,BGD,2020-12-07,0
Bangladesh,BGD,2021-01-04,0
Bangladesh,BGD,2021-01-25,0
Bangladesh,BGD,2021-02-08,0
Bangladesh,BGD,2021-02-22,0
Bangladesh,BGD,2021-03-22,0
Bangladesh,BGD,2021-04-05,0
Bangladesh,BGD,2021-04-19,0
Bangladesh,BGD,2021-05-03,17.86
Bangladesh,BGD,2021-05-17,41.07
Bangladesh,BGD,2021-05-31,40.82
Bangladesh,BGD,2021-06-14,64.71
Bangladesh,BGD,2021-06-28,92.79
Bangladesh,BGD,2021-07-12,97.92
Bangladesh,BGD,2021-07-26,99.42
Bangladesh,BGD,2021-08-09,100
